num_queries,time,total_time,simulation_accuracy,test_accuracy
0,0,0,0.8908489525909592,0.8856423173803526
500,2.575058698654175,2.575300931930542,0.9003248418533083,0.8972292191435768
1000,3.1761555671691895,6.783037900924683,0.9068984856982614,0.9042821158690176
1500,1422.3931379318237,1430.1803345680237,0.949267890286657,0.9229219143576827
2000,1317.9610531330109,2749.076476573944,0.9735571395723155,0.9375314861460957
2500,1339.1148295402527,4089.0207238197327,0.9880488438555469,0.9410579345088161
3000,1328.9473197460175,5418.849570512772,0.9931322782920274,0.9355163727959698
3500,1219.4616911411285,6639.160890340805,0.995085995085995,0.9365239294710328
4000,977.2413620948792,7617.102733135223,0.9961685823754789,0.9360201511335012
4500,968.3736500740051,8586.190634012222,0.9972958355868037,0.9340050377833753
5000,823.6692464351654,9410.49887228012,0.9977761304670126,0.9329974811083124
5500,702.2396221160889,10113.241298437119,0.9976442873969376,0.9329974811083124
6000,582.5009875297546,10696.215000629425,1.0,0.9319899244332494
