num_queries,time,total_time,simulation_accuracy,test_accuracy
0,0,0,0.8922664986612064,0.890176322418136
5,15.315574407577515,15.315639972686768,0.8939155107187894,0.8957178841309824
10,17.692299127578735,33.90507769584656,0.8965136456854393,0.8957178841309824
15,18.978758096694946,53.82009553909302,0.897379223239659,0.8987405541561713
20,14.14091944694519,68.87158393859863,0.8958761257702639,0.8916876574307305
25,15.332460880279541,85.11965751647949,0.8978494623655914,0.8931989924433249
30,17.20716643333435,103.22111225128174,0.8987181516062668,0.8952141057934508
35,16.948548316955566,121.08782315254211,0.8989547038327527,0.8977329974811084
40,18.011491060256958,140.0351665019989,0.9001426533523538,0.8952141057934508
45,29.847346782684326,170.78143215179443,0.899746192893401,0.8957178841309824
50,21.927874326705933,196.68788266181946,0.9007779012541673,0.8987405541561713
55,30.76489567756653,233.48449659347534,0.9014934858595488,0.8952141057934508
60,31.733296871185303,266.1034436225891,0.902687231674352,0.8992443324937027
65,26.25640869140625,297.1582787036896,0.9016549968173138,0.8942065491183879
70,27.299357414245605,327.05050015449524,0.905558209906036,0.8972292191435768
75,28.46165418624878,356.5152847766876,0.9067580490914887,0.9012594458438287
80,25.268595933914185,383.8629159927368,0.9074812569787845,0.9012594458438287
85,31.779184341430664,416.5618131160736,0.9075670498084292,0.9032745591939546
90,21.464320182800293,441.0477571487427,0.9063748202588273,0.9002518891687658
95,28.440348148345947,473.0485906600952,0.9072593540134314,0.9032745591939546
100,38.949881076812744,512.8885624408722,0.9100656104976796,0.8992443324937027
105,23.43573021888733,539.4999716281891,0.9103139013452914,0.8977329974811084
110,35.0175256729126,578.644288778305,0.9120051290270876,0.8992443324937027
115,33.74591112136841,613.3784122467041,0.9130574270131536,0.9037783375314862
120,22.572975158691406,639.7211606502533,0.9126665596403917,0.9007556675062972
125,31.23925256729126,674.5245697498322,0.9143637532133676,0.9017632241813602
130,42.871307611465454,718.3058540821075,0.915742080720373,0.9073047858942066
135,23.141295194625854,744.5855131149292,0.913421306726746,0.908816120906801
140,32.30609202384949,780.3945472240448,0.915445321307779,0.9047858942065491
145,28.368677139282227,809.6844351291656,0.9166666666666666,0.9083123425692695
150,26.991856575012207,840.9656667709351,0.9154702371350217,0.9057934508816121
155,31.216841220855713,875.8970029354095,0.9170164675492412,0.9057934508816121
160,40.379302978515625,917.2123246192932,0.9180804653417354,0.9022670025188917
165,28.976458072662354,948.723082780838,0.9183376455368694,0.9047858942065491
170,39.756744146347046,989.4377381801605,0.9185952419485354,0.9057934508816121
175,24.049107789993286,1014.418333530426,0.9224165856818918,0.9073047858942066
180,28.32929801940918,1047.8188569545746,0.9181390825093207,0.9062972292191436
185,48.14856815338135,1096.9142796993256,0.9196950032446464,0.9073047858942066
190,22.705627918243408,1123.432335138321,0.9201169020944958,0.9093198992443325
195,30.70802140235901,1157.02414894104,0.9203769905752356,0.9108312342569269
200,47.93331956863403,1205.8493483066559,0.922263782728899,0.908816120906801
205,22.075371026992798,1231.1628351211548,0.9225260416666666,0.9073047858942066
210,30.733784675598145,1267.612601518631,0.9239289786610198,0.9113350125944585
215,39.42070746421814,1309.9913301467896,0.9227257906749267,0.9093198992443325
220,26.08466649055481,1336.9791622161865,0.9234785446239191,0.9113350125944585
225,26.46322226524353,1366.4982225894928,0.9253755715218811,0.9148614609571788
230,34.62705087661743,1404.565259218216,0.9238437653211309,0.9118387909319899
235,28.678333282470703,1434.162276506424,0.9254170755642787,0.9113350125944585
240,24.929285764694214,1461.6944093704224,0.9269929612047798,0.9113350125944585
245,40.68678259849548,1503.2770364284515,0.9274246395806028,0.9138539042821159
250,25.289800882339478,1531.492972612381,0.9278570257419249,0.9128463476070529
255,31.941807508468628,1566.4489257335663,0.9268132589432229,0.9118387909319899
260,35.753663539886475,1603.1869604587555,0.9288881589752012,0.9123425692695214
265,22.177284002304077,1627.8444249629974,0.9263642340565418,0.9113350125944585
270,32.35232591629028,1663.3963990211487,0.9292646816910676,0.9103274559193955
275,37.21568012237549,1701.5326535701752,0.9295357260454395,0.9093198992443325
280,21.421658754348755,1726.2842695713043,0.9304663041687263,0.9118387909319899
285,38.71805286407471,1767.4429461956024,0.9307387862796834,0.9123425692695214
290,29.31124234199524,1797.6510808467865,0.9308466743687077,0.9123425692695214
295,27.497531414031982,1828.585235118866,0.9311199207135779,0.909823677581864
300,33.77000856399536,1863.263694524765,0.9290791866424203,0.909823677581864
305,29.13495945930481,1893.3359501361847,0.9316677696889477,0.9128463476070529
310,30.706528902053833,1929.611177444458,0.9309488325881768,0.9143576826196473
315,35.161805868148804,1965.675797700882,0.9348690752403049,0.9178841309823678
320,20.880548238754272,1989.2120878696442,0.9344833305689169,0.9163727959697733
325,35.947614908218384,2027.849109172821,0.9344289508632138,0.9123425692695214
330,26.432770252227783,2055.191227912903,0.9350390430304037,0.9148614609571788
335,28.38672971725464,2086.6422126293182,0.9351513136015963,0.9148614609571788
340,40.21294593811035,2127.7816801071167,0.9340988517224164,0.9173803526448363
345,25.927095651626587,2158.1255173683167,0.9363757495003331,0.9168765743073047
350,33.03491449356079,2193.8164796829224,0.936156026004334,0.9133501259445844
355,53.29881763458252,2248.0127069950104,0.9362696029362696,0.9148614609571788
360,26.209657907485962,2278.1326920986176,0.9363833695107697,0.9204030226700252
365,35.36067509651184,2316.6128039360046,0.9353275401069518,0.9163727959697733
370,35.42317795753479,2352.9583353996277,0.9351062050510118,0.9138539042821159
375,25.615638256072998,2381.698306083679,0.9350518915299632,0.9118387909319899
380,31.820618391036987,2417.433814764023,0.9375104707656223,0.9153652392947104
385,51.11663222312927,2469.450560569763,0.9381287726358148,0.9113350125944585
390,21.415284872055054,2495.254862546921,0.9387481120993455,0.9133501259445844
395,33.76949954032898,2533.7564735412598,0.9388646288209607,0.9148614609571788
400,37.35154867172241,2572.00977230072,0.9403261052277694,0.9148614609571788
405,27.45151996612549,2602.368979692459,0.9392664872139973,0.9168765743073047
410,30.811450004577637,2638.0242462158203,0.941909412358983,0.9178841309823678
415,30.84052324295044,2669.750664949417,0.9415234243343444,0.9168765743073047
420,22.524741172790527,2695.6237621307373,0.9424860853432282,0.9183879093198992
425,39.41772389411926,2737.8773469924927,0.9410871033085753,0.9163727959697733
430,28.098160982131958,2766.8792431354523,0.9430647068761615,0.9204030226700252
435,25.723796606063843,2795.615604877472,0.9435238417314846,0.9178841309823678
440,44.910553216934204,2841.474290370941,0.9433068201049247,0.9168765743073047
